route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
269_752_TLT_272,269,752,Länstaxi,,3,http://www.ResRobot.se,,
269_41_BLT,269,41,,,3,http://www.ResRobot.se,,
252_302_TLT,252,302,Länstaxi,,3,http://www.ResRobot.se,,
253_204_BLT,253,4,,,3,http://www.ResRobot.se,,
269_436_BLT_272,269,436,,,3,http://www.ResRobot.se,,
269_261_BLT_273,269,261,,,3,http://www.ResRobot.se,,
276_605_BLT,276,5,,,3,http://www.ResRobot.se,,
289_342_BLT,289,342,,,3,http://www.ResRobot.se,,
269_521_BLT,269,521,,,3,http://www.ResRobot.se,,
253_65_BLT,253,65,,,3,http://www.ResRobot.se,,
279_3102_BLT_262,279,102,,,3,http://www.ResRobot.se,,
647_21_BLT,647,21,,,3,http://www.ResRobot.se,,
258_9_BLT,258,9,,,3,http://www.ResRobot.se,,
269_605_TLT_272,269,605,Länstaxi,,3,http://www.ResRobot.se,,
279_4803_BLT_262,279,3,,,3,http://www.ResRobot.se,,
279_6735_BLT_262,279,735,,,3,http://www.ResRobot.se,,
256_137_BLT,256,137,,,3,http://www.ResRobot.se,,
265_610_BLT,265,610,,,3,http://www.ResRobot.se,,
265_65_BLT,265,65,,,3,http://www.ResRobot.se,,
267_201_BLT,267,201,,,3,http://www.ResRobot.se,,
279_6737_BLT_262,279,737,,,3,http://www.ResRobot.se,,
279_5761_BLT_262,279,761,,,3,http://www.ResRobot.se,,
279_4879_FLT_262,279,879,,,4,http://www.ResRobot.se,,
276_341_BLT,276,341,,,3,http://www.ResRobot.se,,
275_825_BLT,275,825,,,3,http://www.ResRobot.se,,
251_511_BLT,251,511,,,3,http://www.ResRobot.se,,
267_324_TLT,267,324,Länstaxi,,3,http://www.ResRobot.se,,
279_4732_BLT_262,279,732,,,3,http://www.ResRobot.se,,
265_50_BLT,265,50,,,3,http://www.ResRobot.se,,
251_212_BLT,251,212,,,3,http://www.ResRobot.se,,
269_216_BLT,269,216,,,3,http://www.ResRobot.se,,
275_565_BLT,275,565,,,3,http://www.ResRobot.se,,
269_681_TLT_272,269,681,Länstaxi,,3,http://www.ResRobot.se,,
279_3321_BLT_262,279,321,,,3,http://www.ResRobot.se,,
266_215_BLT,266,15,,,3,http://www.ResRobot.se,,
255_150_BLT,255,150,,,3,http://www.ResRobot.se,,
269_598_TLT_272,269,598,Länstaxi,,3,http://www.ResRobot.se,,
602_3_BLT,602,3,,,3,http://www.ResRobot.se,,
276_134_BLT,276,134,,,3,http://www.ResRobot.se,,
279_2265_BLT_262,279,265,,,3,http://www.ResRobot.se,,
275_517_BLT,275,517,,,3,http://www.ResRobot.se,,
279_6313_BLT_262,279,313,,,3,http://www.ResRobot.se,,
253_513_TLT,253,513,Länstaxi,,3,http://www.ResRobot.se,,
269_715_TLT_272,269,715,Länstaxi,,3,http://www.ResRobot.se,,
269_649_TLT_272,269,649,Länstaxi,,3,http://www.ResRobot.se,,
279_3303_BLT_262,279,303,,,3,http://www.ResRobot.se,,
267_18_TLT,267,18,Länstaxi,,3,http://www.ResRobot.se,,
269_559_TLT_272,269,559,Länstaxi,,3,http://www.ResRobot.se,,
279_5035_BLT_262,279,35,,,3,http://www.ResRobot.se,,
267_315_BLT,267,315,,,3,http://www.ResRobot.se,,
266_87_BLT,266,87,,,3,http://www.ResRobot.se,,
279_4647_TLT_262,279,647,Länstaxi,,3,http://www.ResRobot.se,,
251_101_BLT,251,101,,,3,http://www.ResRobot.se,,
269_609_BLT,269,609,,,3,http://www.ResRobot.se,,
275_872_BLT,275,872,,,3,http://www.ResRobot.se,,
279_6481_TLT_262,279,431,Länstaxi,,3,http://www.ResRobot.se,,
279_6935_BLT_262,279,935,,,3,http://www.ResRobot.se,,
289_722_BLT,289,722,,,3,http://www.ResRobot.se,,
267_44_BLT,267,44,,,3,http://www.ResRobot.se,,
267_128_BLT,267,128,,,3,http://www.ResRobot.se,,
276_175_BLT,276,175,,,3,http://www.ResRobot.se,,
269_593_TLT_272,269,593,Länstaxi,,3,http://www.ResRobot.se,,
275_547_BLT,275,547,,,3,http://www.ResRobot.se,,
279_6320_BLT_262,279,320,,,3,http://www.ResRobot.se,,
268_40_BLT,268,40,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
279_4265_TLT_262,279,765,Länstaxi,,3,http://www.ResRobot.se,,
268_44_BLT,268,44,X-Tåget Ersättningsbuss,,3,http://www.ResRobot.se,,
258_174_BLT,258,174,,,3,http://www.ResRobot.se,,
279_3829_TLT_262,279,224,Länstaxi,,3,http://www.ResRobot.se,,
279_3412_BLT_262,279,412,,,3,http://www.ResRobot.se,,
253_623_BLT,253,623,,,3,http://www.ResRobot.se,,
269_124_BLT,269,124,,,3,http://www.ResRobot.se,,
269_113_TLT_273,269,113,Länstaxi,,3,http://www.ResRobot.se,,
269_716_TLT_272,269,716,Länstaxi,,3,http://www.ResRobot.se,,
276_765_BLT,276,5,,,3,http://www.ResRobot.se,,
279_4874_BLT_262,279,874,,,3,http://www.ResRobot.se,,
253_243_BLT,253,243,,,3,http://www.ResRobot.se,,
269_412_BLT,269,412,,,3,http://www.ResRobot.se,,
269_611_TLT_271,269,611,Länstaxi,,3,http://www.ResRobot.se,,
269_611_TLT_272,269,611,Länstaxi,,3,http://www.ResRobot.se,,
253_355_BLT,253,355,,,3,http://www.ResRobot.se,,
279_4883_BLT_262,279,883,,,3,http://www.ResRobot.se,,
269_123_BLT_272,269,123,,,3,http://www.ResRobot.se,,
266_62_TLT,266,62,Länstaxi,,3,http://www.ResRobot.se,,
269_52_BLT_273,269,52,,,3,http://www.ResRobot.se,,
