service_id,date,exception_type
55,20140722,2
55,20140723,2
55,20140724,2
55,20140725,2
55,20140726,2
55,20140727,2
55,20140728,2
55,20140729,2
55,20140730,2
55,20140731,2
55,20140801,2
55,20140802,2
55,20140803,2
55,20140804,2
55,20140805,2
55,20140806,2
55,20140807,2
55,20140808,2
55,20140809,2
55,20140810,2
55,20140811,2
55,20140812,2
55,20140813,2
55,20140814,2
55,20140815,2
55,20140816,2
55,20140817,2
55,20140818,2
55,20140819,2
55,20140820,2
55,20140821,2
55,20140822,2
55,20140823,2
55,20140824,2
55,20140825,2
55,20140826,2
55,20140827,2
55,20140828,2
55,20140829,2
55,20140830,2
55,20140831,2
55,20140906,2
55,20140913,2
55,20140920,2
55,20140927,2
55,20141004,2
55,20141011,2
55,20141018,2
55,20141025,2
55,20141101,2
55,20141108,2
55,20141115,2
55,20141122,2
55,20141129,2
55,20141206,2
55,20141213,2
54,20140623,1
54,20140624,1
54,20140625,1
54,20140626,1
54,20140627,1
54,20140629,1
54,20140630,1
54,20140701,1
54,20140702,1
54,20140703,1
54,20140704,1
54,20140706,1
54,20140707,1
54,20140708,1
54,20140709,1
54,20140710,1
54,20140711,1
54,20140713,1
54,20140714,1
54,20140715,1
54,20140716,1
54,20140717,1
54,20140718,1
54,20140720,1
54,20140721,1
54,20140722,1
54,20140723,1
54,20140724,1
54,20140725,1
54,20140727,1
54,20140728,1
54,20140729,1
54,20140730,1
54,20140731,1
54,20140801,1
54,20140803,1
54,20140804,1
54,20140805,1
54,20140806,1
54,20140807,1
54,20140808,1
54,20140810,1
54,20140811,1
54,20140812,1
54,20140813,1
54,20140814,1
54,20140815,1
54,20140817,1
54,20140818,1
54,20140819,1
54,20140820,1
54,20140821,1
54,20140822,1
54,20140824,1
54,20140825,1
54,20140826,1
54,20140827,1
54,20140828,1
54,20140829,1
54,20140831,1
53,20140907,1
53,20140914,1
53,20140921,1
53,20140928,1
53,20141005,1
53,20141012,1
53,20141019,1
53,20141026,1
53,20141102,1
53,20141109,1
53,20141116,1
53,20141123,1
53,20141130,1
53,20141207,1
52,20140629,1
52,20140706,1
52,20140713,1
52,20140720,1
52,20140727,1
52,20140803,1
52,20140810,1
52,20140817,1
52,20140824,1
52,20140831,1
59,20140628,2
59,20140629,2
59,20140705,2
59,20140706,2
59,20140712,2
59,20140713,2
59,20140719,2
59,20140720,2
59,20140721,2
59,20140722,2
59,20140726,2
59,20140727,2
59,20140802,2
59,20140803,2
59,20140809,2
59,20140810,2
59,20140816,2
59,20140817,2
59,20140823,2
59,20140824,2
59,20140830,2
59,20140831,2
59,20140906,2
59,20140907,2
59,20140913,2
59,20140914,2
59,20140920,2
59,20140921,2
59,20140927,2
59,20140928,2
59,20141004,2
59,20141005,2
59,20141011,2
59,20141012,2
59,20141018,2
59,20141019,2
59,20141020,2
59,20141021,2
59,20141022,2
59,20141023,2
59,20141025,2
59,20141026,2
59,20141101,2
59,20141102,2
59,20141108,2
59,20141109,2
59,20141115,2
59,20141116,2
59,20141122,2
59,20141123,2
59,20141129,2
59,20141130,2
59,20141206,2
59,20141207,2
59,20141213,2
58,20140628,2
58,20140629,2
58,20140705,2
58,20140706,2
58,20140712,2
58,20140713,2
58,20140719,2
58,20140720,2
58,20140721,2
58,20140722,2
58,20140726,2
58,20140727,2
58,20140802,2
58,20140803,2
58,20140809,2
58,20140810,2
58,20140816,2
58,20140817,2
58,20140823,2
58,20140824,2
58,20140830,2
58,20140831,2
58,20140906,2
58,20140907,2
58,20140913,2
58,20140914,2
58,20140920,2
58,20140921,2
58,20140927,2
58,20140928,2
58,20141004,2
58,20141005,2
58,20141011,2
58,20141012,2
58,20141018,2
58,20141019,2
58,20141025,2
58,20141026,2
58,20141101,2
58,20141102,2
58,20141108,2
58,20141109,2
58,20141115,2
58,20141116,2
58,20141122,2
58,20141123,2
58,20141129,2
58,20141130,2
58,20141206,2
58,20141207,2
58,20141213,2
57,20140901,1
57,20140902,1
57,20140903,1
57,20140904,1
57,20140905,1
57,20140907,1
57,20140912,1
57,20140914,1
57,20140915,1
57,20140916,1
57,20140917,1
57,20140918,1
57,20140919,1
57,20140921,1
57,20140922,1
57,20140923,1
57,20140924,1
57,20140925,1
57,20140926,1
57,20140928,1
57,20140929,1
57,20140930,1
57,20141001,1
57,20141002,1
57,20141003,1
57,20141005,1
57,20141006,1
57,20141007,1
57,20141008,1
57,20141009,1
57,20141010,1
57,20141012,1
57,20141013,1
57,20141014,1
57,20141015,1
57,20141016,1
57,20141017,1
57,20141019,1
57,20141020,1
57,20141021,1
57,20141022,1
57,20141023,1
57,20141024,1
57,20141026,1
57,20141027,1
57,20141028,1
57,20141029,1
57,20141030,1
57,20141031,1
57,20141102,1
57,20141103,1
