from_stop_id,to_stop_id,transfer_type,min_transfer_time
7400839,7400839,2,300
7400841,7400841,3,
7400842,7400842,3,
7400843,7400843,3,
7400844,7400844,3,
7400845,7400845,2,
7400846,7400846,2,
7400847,7400847,3,
7400848,7400848,2,
7400849,7400849,2,240
7400850,7400850,2,
7400852,7400852,2,300
7400853,7400853,2,
7400855,7400855,3,
7400856,7400856,3,
7400857,7400857,3,
7400858,7400858,2,300
7400859,7400859,2,300
7400860,7400860,2,300
7400861,7400861,2,300
7400862,7400862,2,
7400863,7400863,3,
7400865,7400865,2,300
7400866,7400866,3,
7400868,7400868,2,180
7400869,7400869,3,
7400870,7400870,2,
7400871,7400871,2,
7400872,7400872,2,
7400873,7400873,2,300
7400874,7400874,3,
7400875,7400875,3,
7400876,7400876,3,
7400877,7400877,2,300
7400878,7400878,2,300
7400879,7400879,2,300
7400880,7400880,2,300
7400881,7400881,3,
7400882,7400882,2,
7400883,7400883,2,300
7400884,7400884,3,
7400885,7400885,2,300
7400886,7400886,2,300
7400887,7400887,2,300
7400888,7400888,2,300
7400892,7400892,2,300
7400893,7400893,3,
7400895,7400895,2,300
7400901,7400901,3,
7400903,7400903,2,600
7400904,7400904,2,300
7400906,7400906,2,300
7400907,7400907,2,600
7400909,7400909,2,
7400910,7400910,3,
7400911,7400911,2,
7400913,7400913,2,
7400915,7400915,3,
7400917,7400917,2,
7400918,7400918,2,
7400919,7400919,3,
7400921,7400921,2,
7400922,7400922,2,
7400923,7400923,2,180
7400924,7400924,2,300
7400926,7400926,3,
7400927,7400927,2,
7400928,7400928,2,
7400929,7400929,2,
7400930,7400930,3,
7400932,7400932,2,
7400933,7400933,3,
7400934,7400934,2,600
7400935,7400935,2,
7400936,7400936,2,
7400937,7400937,3,
7400938,7400938,2,
7400939,7400939,2,300
7400940,7400940,2,180
7400941,7400941,2,600
7400942,7400942,2,600
7400943,7400943,2,
7400944,7400944,2,
7400945,7400945,2,300
7400946,7400946,2,600
7400947,7400947,2,
7400948,7400948,2,240
7400949,7400949,2,
7400950,7400950,3,
7400951,7400951,2,
7400952,7400952,2,300
7400953,7400953,2,1500
7400954,7400954,2,300
7400955,7400955,2,
7400956,7400956,2,
7400957,7400957,2,240
7400958,7400958,2,300
7400959,7400959,3,
7400960,7400960,3,
7400961,7400961,2,
7400962,7400962,3,
7400963,7400963,2,600
7400964,7400964,3,
7400965,7400965,2,
7400966,7400966,2,600
7400967,7400967,2,180
7400968,7400968,3,
7400969,7400969,3,
7400973,7400973,2,
7400974,7400974,3,
7400976,7400976,3,
7400977,7400977,3,
7400978,7400978,3,
7400980,7400980,2,600
7400981,7400981,2,300
7400982,7400982,2,300
7400984,7400984,3,
7400985,7400985,2,300
7400986,7400986,2,300
7400987,7400987,3,
7400989,7400989,3,
7400995,7400995,2,300
7400996,7400996,3,
7400997,7400997,2,300
7400998,7400998,2,
7400999,7400999,2,300
7401000,7401000,2,120
7401002,7401002,3,
7401003,7401003,2,
7401004,7401004,3,
7401005,7401005,2,300
7401006,7401006,2,
7401007,7401007,3,
7401008,7401008,2,
7401009,7401009,2,
7401010,7401010,2,180
7401011,7401011,2,300
7401012,7401012,2,300
7401013,7401013,3,
7401014,7401014,2,
7401015,7401015,2,300
7401016,7401016,3,
7401017,7401017,2,
7401018,7401018,3,
7401020,7401020,3,
7401021,7401021,2,
7401022,7401022,3,
7401023,7401023,3,
7401024,7401024,3,
7401025,7401025,3,
7401026,7401026,2,
7401027,7401027,2,
7401028,7401028,2,
7401030,7401030,3,
7401034,7401034,3,
7401035,7401035,2,180
7401036,7401036,2,
7401037,7401037,3,
7401038,7401038,2,300
7401039,7401039,3,
7401040,7401040,2,
7401041,7401041,3,
7401042,7401042,2,
7401043,7401043,3,
7401044,7401044,2,
7401045,7401045,2,
7401047,7401047,2,
7401048,7401048,2,300
7401049,7401049,3,
7401050,7401050,3,
7401051,7401051,2,300
7401052,7401052,2,300
7401053,7401053,2,300
7401054,7401054,2,300
7401055,7401055,2,300
7401057,7401057,3,
7401058,7401058,3,
7401059,7401059,2,
7401060,7401060,2,
7401061,7401061,3,
7401062,7401062,2,
7401063,7401063,2,
7401064,7401064,3,
7401065,7401065,2,
7401067,7401067,3,
7401068,7401068,2,
7401069,7401069,2,300
7401070,7401070,2,180
7401071,7401071,2,300
7401072,7401072,2,
7401073,7401073,3,
7401075,7401075,3,
7401076,7401076,2,
7401077,7401077,3,
7401078,7401078,2,
7401079,7401079,3,
7401080,7401080,2,
7401081,7401081,2,300
7401082,7401082,2,300
7401083,7401083,3,
7401084,7401084,2,1800
7401085,7401085,3,
7401086,7401086,3,
7401088,7401088,2,
7401089,7401089,2,
7401090,7401090,3,
7401091,7401091,3,
7401092,7401092,2,
7401093,7401093,2,
7401095,7401095,2,600
7401096,7401096,3,
7401097,7401097,3,
7401098,7401098,3,
7401100,7401100,2,
7401101,7401101,2,
7401102,7401102,3,
7401103,7401103,2,
7401104,7401104,2,300
7401105,7401105,2,900
7401106,7401106,3,
7401107,7401107,3,
7401109,7401109,2,300
7401110,7401110,3,
7401111,7401111,3,
7401113,7401113,2,
7401114,7401114,2,
7401115,7401115,2,300
7401116,7401116,3,
7401117,7401117,2,300
7401118,7401118,3,
7401120,7401120,2,300
7401121,7401121,3,
7401122,7401122,2,
7401123,7401123,3,
7401124,7401124,2,
7401125,7401125,3,
7401127,7401127,2,
7401128,7401128,3,
7401129,7401129,2,300
7401131,7401131,3,
7401132,7401132,3,
7401133,7401133,2,300
7401134,7401134,3,
7401135,7401135,2,
7401136,7401136,2,600
7401137,7401137,3,
7401138,7401138,2,
7401139,7401139,3,
7401140,7401140,2,300
7401142,7401142,3,
7401143,7401143,2,600
7401144,7401144,2,300
7401145,7401145,3,
7401146,7401146,2,300
7401147,7401147,3,
7401148,7401148,3,
7401149,7401149,3,
7401150,7401150,2,120
7401151,7401151,3,
7401152,7401152,2,
7401154,7401154,2,300
7401155,7401155,3,
7401156,7401156,3,
7401157,7401157,3,
7401158,7401158,3,
7401159,7401159,3,
7401160,7401160,2,
7401161,7401161,3,
7401162,7401162,3,
7401163,7401163,2,
7401164,7401164,2,
7401167,7401167,3,
7401168,7401168,2,300
7401169,7401169,2,
7401170,7401170,2,300
7401171,7401171,2,420
7401173,7401173,3,
7401174,7401174,2,2400
7401175,7401175,2,
7401176,7401176,2,
7401177,7401177,2,300
7401178,7401178,2,300
7401179,7401179,2,300
7401180,7401180,3,
7401181,7401181,2,300
7401182,7401182,3,
7401183,7401183,2,300
7401184,7401184,3,
7401186,7401186,3,
7401187,7401187,3,
7401188,7401188,3,
7401189,7401189,3,
7401190,7401190,2,
7401191,7401191,2,
7401192,7401192,2,
7401194,7401194,3,
7401197,7401197,3,
7401198,7401198,3,
7401199,7401199,2,
7401200,7401200,3,
7401202,7401202,2,60
7401203,7401203,2,60
7401204,7401204,2,60
7401205,7401205,2,300
7401206,7401206,2,540
7401208,7401208,3,
7401209,7401209,3,
7401210,7401210,3,
7401213,7401213,2,60
7401214,7401214,3,
7401215,7401215,3,
7401216,7401216,2,
7401218,7401218,3,
7401219,7401219,2,
7401221,7401221,2,300
